invoice_id,date,category,supplier,description,amount_gbp,vat_gbp,total_gbp,status,drive_link,notes
INV6409223,2026-06-02,Fuel,Tate Fleet,Diesel - Bunkered & Esso,2794.39,558.88,3353.27,Outstanding,,
KM137260,2026-04-23,Maintenance,K&M Tyres,Tyre services,595.00,119.00,714.00,Paid,,
KM137529,2026-05-06,Maintenance,K&M Tyres,Tyre services,525.00,105.00,630.00,Paid,,
KM137650,2026-05-11,Maintenance,K&M Tyres,Tyre services,422.85,84.57,507.42,Outstanding,,
APPLE-20260605R2701298051,2026-06-05,Business Expense,Apple Store Cambridge,iPhone 17 Pro Max 256GB - Business device,999.17,199.83,1199.00,Paid,https://drive.google.com/file/d/1BZLZH1490NrmFNluYry6OBAFbB54_xVV/view?usp=share_link,Receipt ref: 20260605R2701298051
